[22/01/20 09:10:04] @elonmusk - RT by @_Bergelmir_: Cancel Cancel Culture! (Tue 09:35:23) https://twitter.com/elonmusk/status/1262783922708058113
[22/02/05 13:10:04] @elonmusk - RT by @_Bergelmir_:  (Sat 12:19:53) http://twitter.com/elonmusk/status/1490057614436282383
[22/11/15 20:24:05] @elonmusk - RT @Tesla - https://t.co/2Ylnmh97Oz  (Tue 20:21:58) https://www.twitter.com/Tesla/status/1592725355328311300
[22/11/15 22:51:03] @elonmusk - RT @NASA - LIVE NOW: The #Artemis era of exploration begins today with @NASAArtemis I, the first integrated test flight of the rocket and spacecraft that will bring humanity to the Moon. Watch @NASA_SLS and @NASA_Orion embark on their first voyage. https://t.co/Ngak08VFb0  (Tue 22:48:24) https://www.twitter.com/NASA/status/1592721757294587905
[22/11/16 11:27:02] @elonmusk - RT @Tesla - Model S received the highest overall score from Euro NCAP among any vehicle tested under the current protocol → https://t.co/dTdpQH6pCg https://t.co/tnm4msFjDC  (Wed 11:26:11) https://www.twitter.com/Tesla/status/1592962221050855424
[22/11/19 18:09:04] @elonmusk - RT @TrungTPhan - Twitter servers right now https://t.co/f65xDOb981  (Sat 18:08:11) https://www.twitter.com/TrungTPhan/status/1594145726099255296
[22/11/19 19:09:03] @elonmusk - RT @Tesla - Inside Tesla exhibit at Petersen Automotive Museum opens tomorrow https://t.co/qU3IickfBw  (Sat 19:08:52) https://www.twitter.com/Tesla/status/1594149676818657280
[22/11/22 16:18:04] @elonmusk - RT @TeslaCharging - 40k Superchargers around the world — and counting https://t.co/w6tShTkwPA  (Tue 16:15:34) https://www.twitter.com/TeslaCharging/status/1595114899595591681
[22/11/22 19:03:05] @elonmusk - RT @SpaceX - Liftoff! https://t.co/gTbH5zOKCq  (Tue 19:00:58) https://www.twitter.com/SpaceX/status/1595250210342461440
[22/11/22 21:39:04] @elonmusk - RT @SpaceX - Deployment of Eutelsat 10B confirmed https://t.co/2TwjY8ObzS  (Tue 21:36:57) https://www.twitter.com/SpaceX/status/1595259141911552000
[22/11/23 17:45:09] @elonmusk - RT @TwitterBusiness - Stronger ROI for advertisers. Relevant ads for everyone. New Twitter solutions are now live 👇 https://t.co/9tWExprfZl  (Wed 17:44:00) https://www.twitter.com/TwitterBusiness/status/1595574049178259456
[22/11/24 10:12:09] @elonmusk - RT @Tesla - Happy Thanksgiving!	 Thanks to the Tesla team, owners and fans for helping us accelerate the world’s transition to sustainable energy 🌎❤️  (Thu 10:09:44) https://www.twitter.com/Tesla/status/1595839811218247684
[22/11/26 11:45:05] @elonmusk - RT @SpaceX - Dragon separation confirmed; autonomous docking to the @space_station on Sunday, November 27 at ~7:30 a.m. ET https://t.co/U8sN9uF1Xn  (Sat 11:44:45) https://www.twitter.com/SpaceX/status/1596588027593166848
[22/11/26 11:45:07] @elonmusk - RT @SpaceX - Falcon 9’s first stage has landed on the Just Read the Instructions droneship https://t.co/SIVrDEYT9R  (Sat 11:44:42) https://www.twitter.com/SpaceX/status/1596586894485123072
[22/11/26 11:45:10] @elonmusk - RT @SpaceX - Liftoff! https://t.co/FcVOep82eo  (Sat 11:44:36) https://www.twitter.com/SpaceX/status/1596585010101788672
[22/11/26 13:09:03] @elonmusk - RT @SpaceX - Falcon 9 launches Dragon to the @space_station https://t.co/yvh5C9U5AV  (Sat 13:07:22) https://www.twitter.com/SpaceX/status/1596611180877197312
[22/11/28 12:48:07] @elonmusk - RT @BillyM2k - @lexfridman apple should be more transparent about their processes and probably not have such a monopoly	 (Mon 12:46:38) https://www.twitter.com/BillyM2k/status/1597306987808583685
[22/11/28 12:48:09] @elonmusk - RT @lexfridman - Apple should support free speech.  (Mon 12:46:36) https://www.twitter.com/lexfridman/status/1597305105837015040
[22/11/28 17:39:03] @elonmusk - RT @pmarca - "We look forward to a world founded upon four essential human freedoms. The first is freedom of speech and expression—everywhere in the world." --FDR  (Mon 17:36:41) https://www.twitter.com/pmarca/status/1597370722191482880
[22/11/30 09:15:06] @elonmusk - RT @SpaceX - Falcon 9 is vertical on pad 40 in Florida ahead of launch of the @ispace_inc HAKUTO-R Mission 1 – the first privately-led Japanese mission to land on the lunar surface → https://t.co/D9BYeHj1EW https://t.co/mU5BOgE4IB	(Wed 09:13:06) https://www.twitter.com/SpaceX/status/1597758716685668352
[22/11/30 10:57:03] @elonmusk - RT @TwitterBusiness - Twitter 2.0: Same mission. Faster innovation. More transparency. https://t.co/mNBerk4vPE	(Wed 10:56:34) https://www.twitter.com/TwitterBusiness/status/1598022251252973571
[22/12/01 18:18:03] @elonmusk - RT @Tesla - Tesla Semi driving 500 miles, fully loaded, on a single charge https://t.co/iZzomLcwZF  (Thu 18:15:33) https://www.twitter.com/Tesla/status/1598490490613432321
[22/12/02 08:24:13] @elonmusk - RT @neuralink - Thank you for joining our live stream to hear about the progress the team has made in the last year. In case you missed it, here’s the full recording: https://t.co/kxFdQ3PzLs	(Fri 08:22:54) https://www.twitter.com/neuralink/status/1598669393122033669
[22/12/03 18:18:03] @elonmusk - RT @TwitterBusiness - Calling all businesses and professionals 📣 Visit our SMB resources page to download the guide to getting the most out of Twitter this holiday season👇  (Sat 18:17:48) https://www.twitter.com/TwitterBusiness/status/1587805296793206786
[22/12/04 20:54:04] @elonmusk - RT @COLDEX_STC - Despite 30 knot winds at the Allan Hills, Antarctica, where ice cores up to 2,700,000 years old have been found, @SpaceX Starlink continues to give the @NSF-supported COLDEX team unprecedented connectivity! @blueicehiggins @icy_pete https://t.co/Jxe0EPUKbw  (Sun 20:53:37) https://www.twitter.com/COLDEX_STC/status/1599616166699622401
[22/12/07 14:27:03] @elonmusk - RT @SpaceX - Teams completed additional vehicle inspections and reviews; rocket and payload are looking good for launch of the @ispace_inc HAKUTO-R mission 1 targeted for no earlier than Sunday, December 11 at 2:38 a.m. ET https://t.co/PmCn77dXyZ	(Wed 14:24:57) https://www.twitter.com/SpaceX/status/1600521784234606593
[22/12/07 18:33:06] @elonmusk - RT @teslaownersSV - Tesla Semi is super quiet while pulling the float. Pretty insane to see this as the future. The exhaust and engine aren’t killing the awesome sounds. @elonmusk https://t.co/JRoDO3Lf7N  (Wed 18:31:37) https://www.twitter.com/teslaownersSV/status/1600664082260320257
[22/12/08 12:18:03] @elonmusk - RT @Tesla - Configurator now live in Thailand 🇹🇭 → https://t.co/3lVkllVQJ4  (Thu 12:15:31) https://www.twitter.com/Tesla/status/1600716715515838466
[22/12/08 12:18:05] @elonmusk - RT @Tesla - https://t.co/sS3CExP48Q  (Thu 12:15:27) https://www.twitter.com/Tesla/status/1600619457491001345
[22/12/08 12:18:07] @elonmusk - RT @Tesla - Delivered our first Tesla Semis last week ✌️ https://t.co/4o2tlkDcyH	 (Thu 12:15:24) https://www.twitter.com/Tesla/status/1600619442328678400
[22/12/08 12:51:02] @elonmusk - RT @SpaceX - Starlink started providing high-speed, low-latency internet to passengers during flights on the first @flyjsx jet this week! https://t.co/xmoKWhzzvP  (Thu 12:50:28) https://www.twitter.com/SpaceX/status/1600953034053275648
[22/12/08 14:57:03] @elonmusk - RT @yousuck2020 - 月旅行のクルーが決まりました！ Crew for Moon Trip Selected!! #dearMoonCrew @dearmoonproject https://t.co/Fle1vbPplD  (Thu 14:55:41) https://www.twitter.com/yousuck2020/status/1600977958638096385
[22/12/08 15:00:11] @elonmusk - RT @SpaceX - Falcon 9's first stage has landed https://t.co/0JxddJt5Sd	(Thu 14:57:09) https://www.twitter.com/SpaceX/status/1600983113210875904
[22/12/08 15:00:13] @elonmusk - RT @SpaceX - Stage separation https://t.co/OLV2aXVsbY  (Thu 14:57:00) https://www.twitter.com/SpaceX/status/1600982124625989632
[22/12/08 15:00:15] @elonmusk - RT @SpaceX - Liftoff! https://t.co/axfShpTw0o  (Thu 14:56:54) https://www.twitter.com/SpaceX/status/1600980659391983616
[22/12/09 10:45:06] @elonmusk - RT @Tesla - 40 Megapack units balance the grid in Lessines, Belgium—making it the biggest operational energy storage system in continental Europe https://t.co/rdmcLVjtZK  (Fri 10:44:54) https://www.twitter.com/Tesla/status/1601286533688229889
[22/12/10 17:48:06] @elonmusk - RT @CommunityNotes - Beginning today, Community Notes are visible around the world 🌎🌍🌏  (Sat 17:45:21) https://www.twitter.com/CommunityNotes/status/1601753552476438528
[22/12/10 23:57:03] @elonmusk - RT @SpaceX - Watch Falcon 9 launch ispace’s HAKUTO-R Mission 1 to a lunar transfer orbit → https://t.co/bJFjLCzWdK https://t.co/LlHRsCpqHI  (Sat 23:56:19) https://www.twitter.com/SpaceX/status/1601839898218008577
[22/12/10 23:57:04] @elonmusk - RT @SpaceX - Falcon 9’s first stage has landed on Landing Zone 2 https://t.co/0viaOjqKR1  (Sat 23:56:16) https://www.twitter.com/SpaceX/status/1601846128877576193
[22/12/10 23:57:06] @elonmusk - RT @SpaceX - Liftoff! https://t.co/FEenmAJmOz  (Sat 23:56:14) https://www.twitter.com/SpaceX/status/1601843991758090240
[22/12/11 00:30:07] @elonmusk - RT @SpaceX - Deployment of ispace’s HAKUTO-R Mission 1 confirmed https://t.co/9R3Uw2qceS  (Sun 00:27:27) https://www.twitter.com/SpaceX/status/1601856119999066112
[22/12/13 13:36:05] @elonmusk - RT @Tesla - Semi's cabin is significantly bigger than that of traditional heavy trucks, with lots of storage and easy access https://t.co/woSoq2QoPp  (Tue 13:32:49) https://www.twitter.com/Tesla/status/1602318014266982402
[22/12/13 20:36:05] @elonmusk - RT @Tesla - Holiday Update rolling out now 🎅  (Tue 20:35:41) https://www.twitter.com/Tesla/status/1602788414813790210
[22/12/14 01:06:06] @elonmusk - RT @yousuck2020 - https://t.co/i0ZoKQx3bY  (Wed 01:03:28) https://www.twitter.com/yousuck2020/status/1602885813679030274
[22/12/15 07:00:09] @elonmusk - RT @NASA - We're now targeting no earlier than 6:46am ET (1146 UTC) on Friday, Dec. 16, for launch of the Surface Water and Ocean Topography mission. The satellite is healthy & the forecast remains favorable for liftoff on Friday morning. Follow https://t.co/4JtEJu7bET for mission updates. https://t.co/mI3IoGJ7VE  (Thu 06:58:19) https://www.twitter.com/NASA/status/1603225428231069696
[22/12/15 07:00:11] @elonmusk - RT @SpaceX - Starlink will provide high-speed internet to the @MuscowpetungRez in Saskatchewan, Canada starting next year https://t.co/KyPghQMEZa  (Thu 06:58:15) https://www.twitter.com/SpaceX/status/1603103156530921472
[22/12/15 12:00:10] @elonmusk - RT @Tesla - Giga Texas hits 3k Model Y builds/week.  Congrats, Tesla team! 🤘 https://t.co/uhG03gFyba  (Thu 11:57:46) https://www.twitter.com/Tesla/status/1603478891728887822
[22/12/15 12:45:09] @elonmusk - RT @SpaceX - Ship 24 completes a single-engine static fire test at Starbase in Texas https://t.co/gF9beLcarX  (Thu 12:44:32) https://www.twitter.com/SpaceX/status/1603488658085945344
[22/12/15 15:30:09] @elonmusk - RT @Tesla - Tesla Electric lets Powerwall owners generate, use & export sustainable power to run their homes https://t.co/JHZ48NSwUS  (Thu 15:27:14) https://www.twitter.com/Tesla/status/1603512288966746130
[22/12/15 15:30:11] @elonmusk - RT @Tesla - Introducing Tesla Electric, the electricity plan that offers low-cost clean energy for homes with Powerwall—starting in Texas → https://t.co/qpvfUgTvft https://t.co/g34QhN8xZR  (Thu 15:27:08) https://www.twitter.com/Tesla/status/1603512255672225792
[22/12/15 22:06:03] @elonmusk - RT @pmarca - A warm welcome to all the newest converts to the great American cause of free speech!  (Thu 22:05:34) https://www.twitter.com/pmarca/status/1603631535659237377
[22/12/16 13:24:08] @elonmusk - RT @SpaceX - Falcon 9 launches the Surface Water and Ocean Topography (SWOT) mission to orbit; first stage booster returns to Earth https://t.co/VOoFXucRrT  (Fri 13:23:23) https://www.twitter.com/SpaceX/status/1603767149838729217
[22/12/17 12:21:02] @elonmusk - RT @amazingmap - All of US history has occurred within a single Pluto orbit https://t.co/AawNrSd7Iz  (Sat 12:17:57) https://www.twitter.com/amazingmap/status/1595894117170647043
[22/12/18 09:33:03] @elonmusk - RT @FOXSoccer - ARGENTINA TAKES THE LEAD IN THE 108TH MINUTE 😱 https://t.co/vqqjaCizBP	 (Sun 09:31:20) https://www.twitter.com/FOXSoccer/status/1604529420735500288
[22/12/18 12:54:03] @elonmusk - RT @Tesla - Congrats to the Giga Berlin team on building 3k Model Y this week! https://t.co/uUTOTRrasX	(Sun 12:52:22) https://www.twitter.com/Tesla/status/1604579924903223296
[22/12/19 12:42:03] @elonmusk - RT @ShellenbergerMD - 1. TWITTER FILES: PART 7 The FBI & the Hunter Biden Laptop How the FBI & intelligence community discredited factual information about Hunter Biden’s foreign business dealings both after and *before* The New York Post revealed the contents of his laptop on October 14, 2020	(Mon 12:40:56) https://www.twitter.com/ShellenbergerMD/status/1604871630613753856
[22/12/19 12:48:08] @elonmusk - RT @SpaceX - Starlink now has more than 1,000,000 active subscribers – thank you to all customers and members of the Starlink team who contributed to this milestone ❤💫🌎 https://t.co/5suNxFvtEH https://t.co/E1ojYarcEA  (Mon 12:47:31) https://www.twitter.com/SpaceX/status/1604872936976154624
[22/12/19 16:39:07] @elonmusk - RT @Tesla - Be your own utility with Solar & Powerwall → https://t.co/e3O2PP5HOd  (Mon 16:37:53) https://www.twitter.com/Tesla/status/1604942471871471638
[22/12/19 16:39:09] @elonmusk - RT @Tesla - We’ve completed 500k+ Solar Panel and Solar Roof installations—that’s equal to ~4 GW of clean energy ☀️ https://t.co/Tjz6PzYuah  (Mon 16:37:50) https://www.twitter.com/Tesla/status/1604942465110528000
[22/12/19 17:00:13] @elonmusk - RT @TwitterBusiness - Today, we’re rolling out Twitter Blue for Business, a new program that lets businesses distinguish their brands and key employees on Twitter. These accounts will show a square company badge next to their display names. https://t.co/d6sNPqFNnY  (Mon 16:59:25) https://www.twitter.com/TwitterBusiness/status/1604956203401912321
[22/12/20 07:12:08] @elonmusk - RT @RubinReport - Holy sheep shit. The government was actually paying Twitter to censor people. @elonmusk, maybe there is a way to make Twitter profitable! (Though will cost you your soul.) https://t.co/7oDPozZXpF  (Tue 07:09:30) https://www.twitter.com/RubinReport/status/1604972341863202816
[22/12/20 07:51:03] @elonmusk - RT @Tesla - Every Tesla has an electronic powertrain that provides instant torque control—enabling more control & stability in winter conditions https://t.co/pZKfjCa10C  (Tue 07:50:22) https://www.twitter.com/Tesla/status/1605228658485911553
[22/12/22 09:03:03] @elonmusk - RT @Tesla - Track Mode coming to Model Y Performance https://t.co/c2Je4YsxgI  (Thu 09:01:27) https://www.twitter.com/Tesla/status/1602789582881587200
[22/12/23 09:57:02] @elonmusk - RT @Tesla - Giga Texas is alive ⚡🚘 https://t.co/XkgSbdPSSS  (Fri 09:54:36) https://www.twitter.com/Tesla/status/1606346513713696773
[22/12/24 02:45:06] @elonmusk - RT @mtaibbi - Notes on a Friday Night: https://t.co/QvmYOUQb1v	(Sat 02:43:20) https://www.twitter.com/mtaibbi/status/1606569914533568513
[22/12/25 01:24:06] @elonmusk - RT @mtaibbi - Twitter Files Thread: The Spies Who Loved Twitter: https://t.co/cAHz9VxfyS  (Sun 01:22:42) https://www.twitter.com/mtaibbi/status/1606899208342360065
[22/12/25 11:54:04] @elonmusk - RT @Tesla - Congrats to the 4680 cell team on achieving 868k cells built in the last 7 days—equal to 1k+ cars! 🔋 https://t.co/CaC7Js9aEL  (Sun 11:53:01) https://www.twitter.com/Tesla/status/1607080893952180225
[22/12/26 08:30:05] @elonmusk - RT @davidzweig - 1. THREAD: THE TWITTER FILES: HOW TWITTER RIGGED THE COVID DEBATE – By censoring info that was true but inconvenient to U.S. govt. policy – By discrediting doctors and other experts who disagreed – By suppressing ordinary users, including some sharing the CDC’s *own data*  (Mon 08:27:11) https://www.twitter.com/davidzweig/status/1607378386338340867
[22/12/27 15:30:07] @elonmusk - RT @Tesla - Tesla ecosystem https://t.co/BLTrFuFU6o  (Tue 15:29:54) https://www.twitter.com/Tesla/status/1607872494492344323
[22/12/28 01:45:08] @elonmusk - RT @SpaceX - Liftoff! https://t.co/1U2u912GNq  (Wed 01:43:39) https://www.twitter.com/SpaceX/status/1608033744086265856
[22/12/28 01:45:10] @elonmusk - RT @SpaceX - Watch Falcon 9 launch 54 Starlink satellites to orbit → https://t.co/wGq3KkoDyY https://t.co/sHdWRcsqZV  (Wed 01:43:36) https://www.twitter.com/SpaceX/status/1608032463124860928
[22/12/28 01:48:06] @elonmusk - RT @SpaceX - Falcon 9’s first stage has landed on the A Shortfall of Gravitas droneship https://t.co/hjvWIY9cZ3	 (Wed 01:46:43) https://www.twitter.com/SpaceX/status/1608036003251621888
[22/12/28 19:48:05] @elonmusk - RT @Tesla - S3XY winter testing in New Zealand 🇳🇿❄️ https://t.co/UMttiFOhxU  (Wed 19:47:08) https://www.twitter.com/Tesla/status/1608132732873220096
[22/12/29 18:54:04] @elonmusk - RT @Tesla - 2022 was a huge year for EVs.  Thank you to Tesla owners, supporters & employees for helping us accelerate the world’s transition to sustainable energy! ⚡🚘🔋☀❤️  (Thu 18:52:15) https://www.twitter.com/Tesla/status/1608549476800802818
[22/12/29 18:54:06] @elonmusk - RT @SpaceX - Falcon 9 launches 54 Starlink satellites to low-Earth orbit; completes SpaceX’s 60th mission of 2022! https://t.co/MIstToPIyL  (Thu 18:51:50) https://www.twitter.com/SpaceX/status/1608050353131642880
[23/01/03 07:42:04] @elonmusk - RT @SpaceX - Watch Falcon 9 launch 114 spacecraft to orbit → https://t.co/bJFjLCiTbK https://t.co/ZJ7ZOJXZOm  (Tue 07:39:27) https://twitter.com/SpaceX/status/1610286872303144962
[23/01/05 09:12:05] @elonmusk - RT @Tesla - Tesla’s impact in California → https://t.co/4MudoNiCJG  (Thu 09:09:04) https://twitter.com/Tesla/status/1610959509454815234
[23/01/07 14:51:06] @elonmusk - RT @Tesla - Safety is the primary design objective for our vehicles.  Your Tesla monitors your surroundings, alerting you or taking corrective action if you are at risk of an accident → https://t.co/pmekvodEC7  (Sat 14:49:52) https://twitter.com/Tesla/status/1611767781636055040
[23/01/07 14:51:08] @elonmusk - RT @SpaceX - Falcon Heavy in the hangar at Launch Complex 39A in Florida https://t.co/juU6Im08zj  (Sat 14:49:21) https://twitter.com/SpaceX/status/1611839383661051904
[23/01/09 08:42:08] @elonmusk - RT @Tesla - Watch live TV & stream your favorite shows in your Tesla when parked https://t.co/syo4fbsoud  (Mon 08:41:12) https://twitter.com/Tesla/status/1612488814852771842
[23/01/09 17:06:08] @elonmusk - RT @SpaceX - Ship 24 stacked on Super Heavy Booster 7 at Starbase in Texas https://t.co/hLcghfq349  (Mon 17:04:48) https://twitter.com/SpaceX/status/1612601348234817536
[23/01/09 20:15:08] @elonmusk - RT @boringcompany - Was our privilege to provide transportation for @LVCVA at an amazing @CES convention.  Fun Loop stats: average ride time < 2 min, average wait time 4.9/5.0! https://t.co/Uspcmyb9sn  (Mon 20:14:52) https://twitter.com/boringcompany/status/1612634349559742465
[23/01/09 20:39:04] @elonmusk - RT @SpaceX - Watch Falcon 9 launch the @OneWeb Launch 16 mission to orbit → https://t.co/bJFjLCiTbK https://t.co/YJtUk3RrUW  (Mon 20:38:38) https://twitter.com/SpaceX/status/1612669769668517890
[23/01/10 07:33:03] @elonmusk - RT @SpaceX - SpaceX had four rockets on four pads and two Dragons on orbit today—as CRS-26 Dragon departed the @space_station with Crew-5 Dragon still attached to the orbiting lab, Falcon Heavy rolled out of the hangar, two Falcon 9’s readied for launch, and Ship 24 was stacked onto Booster 7 https://t.co/hJOcOVjRf7  (Tue 07:30:55) https://twitter.com/SpaceX/status/1612698343691673601
[23/01/11 04:12:07] @elonmusk - RT @Tesla - Model S & Model Y received the highest overall safety scores among every vehicle tested by EuroNCAP in 2022 https://t.co/3RgxHFXYvq	 (Wed 04:10:49) https://twitter.com/Tesla/status/1613115502003425281
[23/01/11 13:06:06] @elonmusk - RT @SpaceX - View from the recovery vessel as Dragon returned to Earth https://t.co/FbJM8AGICi	(Wed 13:03:29) https://twitter.com/SpaceX/status/1613218207682416645
[23/01/12 08:24:09] @elonmusk - RT @SpaceX - Team are stepping into a series of tests prior to Starship's first flight test in the weeks ahead, including full stack wet dress rehearsals and hold down firing of Booster 7's 33 Raptor engines	 (Thu 08:22:45) https://twitter.com/SpaceX/status/1613568779216359424
[23/01/12 08:24:12] @elonmusk - RT @SpaceX - More pics of Starship fully stacked on the orbital launch pad at Starbase → https://t.co/095WHWN1zX https://t.co/pYzC9nQYSc  (Thu 08:22:43) https://twitter.com/SpaceX/status/1613568616078921733
[23/01/12 14:57:03] @elonmusk - RT @mtaibbi - The latest #TwitterFiles expose as a total lie a major Russiagate story — that the #ReleaseTheMemo hashtag was fueled by Russian bots: https://t.co/uO92WXyBlW  (Thu 14:54:46) https://twitter.com/mtaibbi/status/1613621714063134731
[23/01/12 17:39:02] @elonmusk - RT @teslaownersSV - BREAKING: Tesla Is US Brand with Lowest Maintenance Cost for its Cars with 10 years of Use, Model S Is #1 @elonmusk⁩ https://t.co/DKtF9FvIX8	 (Thu 17:38:29) https://twitter.com/teslaownersSV/status/1613708275564052483
[23/01/13 05:51:04] @elonmusk - RT @Tesla - Tesla owners collectively saved $2B+ in 2022 ⚡️  (Fri 05:49:52) https://twitter.com/Tesla/status/1613894897701896192
[23/01/13 05:51:06] @elonmusk - RT @Tesla - View your charging history & savings for the full year in the Tesla app https://t.co/6pZhR9HQsz  (Fri 05:49:50) https://twitter.com/Tesla/status/1613894894203838464
[23/01/13 20:06:06] @elonmusk - RT @TwitterBusiness - We will soon launch Verification for Organizations, formerly known as Blue for Business. Today, you can apply for early access via our waitlist here:  https://t.co/wNdVPXHQRq  (Fri 20:02:54) https://twitter.com/TwitterBusiness/status/1614018467413504001
[23/01/13 20:48:06] @elonmusk - RT @Rainmaker1973 - SpaceX Starship 24 stacked on Super Heavy Booster 7 at Starbase in Texas.  Standing 120 m tall & with more than twice the thrust of Saturn V, it is designed to be the tallest and most powerful launch vehicle ever built, and the first capable of total reusability Source: SpaceX https://t.co/G24KCCKgZc  (Fri 20:46:06) https://twitter.com/Rainmaker1973/status/1613957536419282946
[23/01/14 11:39:03] @elonmusk - RT @SpaceX - Falcon Heavy is now vertical on Launch Complex 39A in Florida. Targeting Sunday, January 15 for launch of the USSF-67 mission → https://t.co/bJFjLCiTbK https://t.co/2tlJjDQ5R4  (Sat 11:37:30) https://twitter.com/SpaceX/status/1614335113575411714
[23/01/15 14:54:03] @elonmusk - RT @SpaceX - Watch Falcon Heavy launch the USSF-67 mission to orbit → https://t.co/bJFjLCiTbK https://t.co/7prulAjJoH  (Sun 14:51:14) https://twitter.com/SpaceX/status/1614754358813675520
[23/01/15 15:06:05] @elonmusk - RT @SpaceX - Falcon Heavy’s side boosters have landed https://t.co/jzxIbHSfFR  (Sun 15:05:56) https://twitter.com/SpaceX/status/1614760728384401408
[23/01/19 09:57:03] @elonmusk - RT @Tesla - Tesla operates the world’s largest global fast-charging network—40k+ Superchargers in 46 countries, located near amenities & optimized for high-speed charging on road trips https://t.co/XEUJdVzZTP  (Thu 09:56:08) https://twitter.com/Tesla/status/1615741577087062017
